note_id,last modification time,tags,Front,Front_alt,Back,Part of Speech,Sound,Sound Example Sentence,Image,Note,Sanskrit,Question,Spelling Hint
1683010884697,1702724695,LRZTP LRZTP_Colloquial_Misc,བྲམ་ཟེ་,,Brahmin (person in the priestly caste),n,,,"""<img alt=""""What is a Brahmin? (with pictures)"""" src=""""paste-daff4ba275a8f3c9c131facd930a04b81d9781c3.jpg"""">""",,,,
1683010977232,1702724695,LRZTP LRZTP_Colloquial_Misc,ཨ་མྲ་,,mango,n,,,"""<img alt=""""Interesting Benefits of Mangoes - Modern Thrill"""" src=""""paste-f5cdcd255fee746aa1b878718e2571d8e03fc95d.jpg"""">""",,,,
1683011074238,1702724695,LRZTP LRZTP_Colloquial_Misc,སྲིད་པ་,,"(1) power, possible, to be possible<br>(2) existence, cyclic existence","v, n",,,,,,,
1683011107298,1702724695,LRZTP LRZTP_Colloquial_Misc,སྲུང་བ་,,(v) protect,v,,,,སྐྱོབ་པ།&nbsp;<br>སྲུང་བ་ཟེར་ན་ཉེན་ཁ་ལས་སྐྱོབ་པར་བྱེད་པའི་དོན།<br>རྒྱལ་ཁབ་སྲུང་མཁན་གྱི་དམག་མི་རེད།,,,
1683011202737,1702724695,LRZTP LRZTP_Colloquial_Misc,ཧྲིལ་པོ་,,"whole, entire",adj,,,,,,,
1683011842522,1702724695,LRZTP LRZTP_Colloquial_Misc,ཟླུམ་པོ་,,"round, spherical",adj,,,"""<img alt=""""Sphere Ball Plastic - Free image on Pixabay"""" src=""""paste-0da64c86b765ff2d77524c909ccdde703b233910.jpg"""">""",""" <span style=""""color:#6767ce"""">ལྡོག་ཚིག</span> གྲུ་བཞི།""",,,
1683011914051,1702724695,LRZTP LRZTP_Colloquial_Misc,ཀླད་པ་,,brain,n,,,"""<img alt=""""Can the Brain Ever be &quot;Full&quot;? - Illinois Science Council"""" src=""""paste-9db5662d92f5c3b0558889673747ad650c11447c.jpg"""">""",,,,
1683012002135,1702724695,LRZTP LRZTP_Colloquial_Misc,"ཀླུ།, ཀླུ་མོ་",,Naga,n,,,"""<img alt=""""naga | Hindu mythology | Britannica"""" src=""""paste-1779a8626aa9d371012f3c7f3c65543fe79488b0.jpg"""">""",,,,
1683012115785,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,གློག་ཀླད་,,computer,n,[sound:180878416_180323_0710_51.mp3],,"""<img alt=""""Pictures Of Desktop Computers - ClipArt Best"""" src=""""paste-595bc436998b4df214a942db5fc7328e0cfb8399.jpg"""">""",,,,
1683012342490,1702724695,LRZTP,བློ་,,"mind (intelligence, thinking mind)",n,,,,,,,
1683012425211,1702724695,LRZTP LRZTP_Colloquial_Misc,རླུང་་,,<div>wind; wind (element – vāyu); wind (vital energy – prāṇa)</div>,n,,,"""<img alt=""""Which Way is your Wind Blowing? | FishTank Faith"""" src=""""paste-15b7de321c5affed1324bed5199d6dc8948d60fc.jpg"""">""",རླུང་ཤུགས་ཆེན་པོ་རྒྱག་ན་མཚམས་མཚམས་ཤིང་སྡོང་ཟག་གི་རེད།,,,
1683012438377,1702724695,LRZTP LRZTP_Colloquial_Misc,རླུན་པ་,,"moist, wet",adj,,,"""<img alt=""""Drenched - People &amp; Portrait Photos - Brandon Crain's Photoblog"""" src=""""paste-c50530588959b3d57a585dc7e66d7881907c30f5.jpg"""">""","སྦང་བ། = རླུན་པ་ཆགས་སོང་། to be soaked, to be drenched",,,lun-po is to get (r)eally wet
1683012506679,1702725280,LRZTP LRZTP_04 LRZTP_Colloquial_Lesson_4 LRZTP_Module_1,སླེབས་པ་,,"to arrive, to reach, to get somewhere (ཐ་མི་དད་པ་)",v,[sound:182456012_180406_1013_43.mp3],,"""<img src=""""paste-c16ac029d58f1b37550f69f6a07d4e9d992dbb4a.jpg"""">""",,,,
1683092991054,1702724695,LRZTP LRZTP_Colloquial_Misc,སྤྱི་ཚོགས་,,society,n,,,"""<img alt=""""How has society has changed over the last 50 years? — Comparonomics"""" src=""""paste-43ecbff804ed5ed3cd04a60b1c3bea07e1c65591.jpg"""">""",,,,
1683093005932,1702724695,LRZTP LRZTP_Colloquial_Misc,སྤྱང་ཀི་,,wolf,n,,,"""<img alt=""""Interior Alaskan wolf - Wikipedia"""" src=""""paste-57a0ef277fc86b2c239ba472edc5b7dee3c066cf.jpg"""">""",,,,
1683093964594,1702724695,LRZTP LRZTP_Colloquial_Misc,སྐྲན་ནད་,སྐྲན།,tumor; cancer,n,,,"""<img src=""""paste-208dc80d3cb29bf28b9763e4cf8fa0031b95ac48.jpg"""">""",ཁོང་ཕོ་སྐྲན་ནད་གྲོངས་པ་རེད།,,,
1683098011729,1702724695,LRZTP LRZTP_Colloquial_Misc,མདའ་,,arrow,n,,,"""<img alt=""""Arrow bow PNG"""" src=""""paste-f04e1695fd5252f9069915ffb4075fd71154927e.jpg"""">""",,,,
1683179505184,1702724695,LRZTP LRZTP_Colloquial_Misc,ལོག་ཡིག་དྲུག་,,6 reveresed letters,n,,,ཊ་ཋ་ཌ་ཎ་ཥ། ཏྲ་ཐྲ་དྲ་ན་ཁ།,Spelling<br>ཏ་ལོག་ཊ་། ཐ་ལོག་ཋ། ད་ལོག་ཌ། ན་ལོག་ཎ། ཤ་ལོག་ཥ།&nbsp;<br>ཏ་ལོག་ཏྲ། ཐ་ལོག་ཐྲ ད་ལོག་དྲ། ན་ལོག་ན། ཤ་ལོག་ཁ།&nbsp;,,,
1683266614325,1702724695,LRZTP LRZTP_Colloquial_Misc,འདྲེ་པ་,,"(v) to become mixed (ཐ་མི་དད་པ་, བྱེད་མེད་ལས་ཚིག)",v,,,"""<img src=""""paste-ab40a52400bc06a58e3240bd13855120c3ae383a.jpg"""">""","""<span style=""""color:#6767ce"""">མ་འོངས་པ།</span> འདྲེ། <span style=""""color:#6767ce"""">ད་ལྟ་བ།</span> འདྲེ། <span style=""""color:#6767ce"""">འདས་པ།</span> འདྲེས།<br>འོ་མ་ཆུ་ལ་འདྲེ་མི་རུང་། འོ་ཆུ་འདྲེས་ནས་སོ་སོར་དབྱེ་མ་ཐུབ་ལྟ་བུ།<br><br>སྲེ་པ། to mix (together) བྱེད་འགྲེལ་ལས་ཚིག""",,,
1683647912389,1702724695,LRZTP,ཕྱག་ཕེབས་གནང་བྱུང་་,,Welcome!,p,,,"""<img alt=""""Please Come In Wood Vinyl Sign Open Welcome Sign Office Supply"""" src=""""paste-0577b813dabd6c566dcf4990a109d71ba117a5cb.jpg"""">""",,,,
1683647976930,1702724695,LRZTP LRZTP_Colloquial_Misc,ག་པར་ཕེབས་ག,,Where are you going?,p,,,,,,,
1683647989503,1702724695,LRZTP LRZTP_Colloquial_Misc,ག་པར་འགྲོ་ག,,Where are you going?,p,,,,,,,
1683648015249,1702724695,LRZTP LRZTP_Colloquial_Misc,བཞུགས་གདན་འཇགས་གློ་,,Good bye! (H) (to the person staying),p,,,,,,,
1683648050473,1702724695,LRZTP LRZTP_Colloquial_Misc,ག་ལེར་ཕེབས་རློགས་གནང་་,,Goodbye! (H) (to the person staying),p,,,,Also means: Please take a seat!,,,
1683648093616,1702724695,LRZTP LRZTP_Colloquial_Misc,ག་ལེར་ཕེབས། ག་ལེར་བཞུགས་,,Goodbye (H)&nbsp;<br>(going / staying),p,,,,,,,
1683648138920,1702724695,LRZTP LRZTP_Colloquial_Misc,ཕེབས་ཨ། བཞུགས་ཨ།,,Bye! (H)<br>(going / staying),p,,,,,,,
