Lesson,Example,Card,Hint
Lesson 11,They were able to (general) …,"ཐུབ་ past other, general / habitual",ཐུབ་པ་རེད། ཐུབ་ཡོད་མ་རེད།
Lesson 11,They were able to (direct experience) …,"ཐུབ་ past other, direct / immediate",ཐུབ་སོང་། ཐུབ་མ་སོང་།
Lesson 11,I will know …,"ཤེས་ future, self",ཤེས་ཀྱི་རེད། ཤེས་ཀྱི་མ་རེད།
Lesson 11,She will know …,"ཤེས་ future, other",ཤེས་ཀྱི་རེད། ཤེས་ཀྱི་མ་རེད།
Lesson 11,Oh! I know …,"ཤེས་ present, just realizing / immediate, self",ཤེས་ཀྱི་འདུག ཤེས་ཀྱི་མི་འདུག
Lesson 11,Oh! They know how to …,"ཤེས་ present, just realizing / immediate, other",ཤེས་ཀྱི་འདུག ཤེས་ཀྱི་མི་འདུག
Lesson 11,I generally know how to …,"ཤེས་ present, general / habitual, self",ཤེས་ཀྱི་ཡོད། ཤེས་ཀྱི་མེད།
Lesson 11,He generally knows how to …,"ཤེས་ present, general / habitual, other",ཤེས་ཀྱི་ཡོད་རེད། ཤེས་ཀྱི་ཡོད་མ་རེད།
Lesson 11,I knew how to …,"ཤེས་ past, self",ཤེས་བྱུང་། ཤེས་མ་བྱུང་།
Lesson 11,She knew (direct experience) …,"ཤེས་ past, just realizing / immediate, other",ཤེས་སོང་། ཤེས་མ་སོང་།
Lesson 11,She (generally) knew …,"ཤེས་ past, general / habitual, other",ཤེས་པ་རེད།  ཤེས་ཡོད་མ་རེད།
Lesson 11,I want,"འདོད་པ་ present, self, positive",འདོད་ཡོད།
,"I want …, I would like …","སྙིང་བྲོ་ present, self, negative",སྙིང་བྲོ་ཡོད།
Lesson 11,"He would like …, He wants …","སྙིང་བྲོ་, འདོད་པ་ present, other, positive ",འདོད་བཞག འདོད་ཡོད་རེད།
Lesson 11,"They would not like …, They do not want …","སྙིང་བྲོ་, འདོད་པ་ present, other, negative",འདོད་མི་འདུག འདོད་ཡོད་མ་རེད།
Lesson 11,I really want right now …,"སྙིང་འདོད་ present, self",སྙིང་འདོད་ཀྱི་འདུག མི་འདུག – སྙིང་འདོད་ is stronger than འདོད་ and means “really want to” “love to” “craving”
Lesson 11,I really wanted …,"སྙིང་འདོད་ past, self",སྙིང་འདོད་བྱུང་། མ་བྱུང་། – སྙིང་འདོད་ is stronger than འདོད་ and means “really want to” “love to” “craving”
Lesson 11,He really wants right now …,"སྙིང་འདོད་ present, other",སྙིང་འདོད་ཀྱི་འདུག མི་འདུག ཀྱི་ཡོད་རེད། ཀྱི་ཡོད་མ་རེད། – སྙིང་འདོད་ is stronger than འདོད་ and means “really want to” “love to” “craving”
Lesson 11,She really wanted …,"སྙིང་འདོད་ past, other",སྙིང་འདོད་སོང་། བཞག མ་སོང་། – སྙིང་འདོད་ is stronger than འདོད་ and means “really want to” “love to” “craving”
Lesson 11,I wanted …,"སྙིང་བྲོ་, འདོད་པ་ past, self, positive",འདོད་བྱུང་།
Lesson 11,She wanted …,"སྙིང་བྲོ་, འདོད་པ་ past, other, positive",འདོད་སོང་། འདོད་པ་རེད།
Lesson 11,I dd not want …,"སྙིང་བྲོ་, འདོད་པ་ past, self, negative",འདོད་མ་བྱུང་།
Lesson 11,She did not want …,"སྙིང་བྲོ་, འདོད་པ་ past, other, negative",འདོད་མ་སོང་། འདོད་ཡོད་མ་རེད།
Lesson 11,They will want to …,"སྙིང་བྲོ་, འདོད་པ་, སྙིན་འདོད་ future, other, positive",ཀྱི་རེད། in all person for future
Lesson 11,They will not want to …,"སྙིང་བྲོ་, འདོད་པ་, སྙིན་འདོད་ future, other, negative",ཀྱི་མ་རེད། in all person for future
Lesson 11,I will have to …,"དགོས་ as secondary verb, future, self",VERB + དགོས་རེད།
Lesson 11,He will have to …,"དགོས་ as secondary verb, future, others",VERB + དགོས་རེད།
Lesson 11,"I will not have to …, There is no need to …","དགོས་ as secondary verb, future, self",VERB + དགོས་མ་རེད།
Lesson 11,"He will not have to …, There is no need for him to …","དགོས་ as secondary verb, future, others",VERB + དགོས་མ་རེད།
Lesson 11,I need to … (at this moment),"དགོས་ as secondary verb, present, immediate, self, positive",VERB + དགོས་[ཀྱི་]འདོག
Lesson 11,They need to … (at this moment),"དགོས་ as secondary verb, present, immediate, other, positive",VERB + དགོས་[ཀྱི་]འདོག
Lesson 11,I need to … (generally),"དགོས་ as secondary verb, present, general / habitual, self, positive",VERB + དགོས་ཀྱི་ཡོད།
Lesson 11,She needs to … (generally),"དགོས་ as secondary verb, present, general / habitual, other, positive",VERB + དགོས་ཀྱི་ཡོད་རེད་།
