front,back,part_of_speech
དཀོན་མཆོག་གསུམ་,The Three Jewels,n
ཡོང་ཡག་གི་ཆེད་དུ་,in order for it to become...,
རྒྱུ་རྐྱེན་གཙོ་བོ་,The main causes and conditions,n
བསྐྱེད་པ་,To generate,v
མངོན་འདོད་ཀྱི་དད་པ་,Aspiring faith,n
ཡིད་ཆེས་པའི་དད་པ་,"trusting faith, confident faith, faith of conviction",n
བསམ་སྤྱོད་,"attitude, motivation and behavior",n
སྐྱབས་,Refuge,n
དབྱེ་,To divide,v
སྐྱབས་འགྲོའི་བསླབ་བྱ་,The precepts of taking refuge,n
གནོད་འཚེ་,Harm,n
སྐྱབས་སུ་མཆི་བ་,To go for refuge,v
ག་རེ་ཡིན་ན་,I wonder what...,
ཁྱད་པར་ཅན་,"excellent, extraordinary, distinguished",adj
ཡང་དག་པ་,"genuine, pure, excellent",adj
དང་བའི་དད་པ་,"lucid faith, clear faith",n
འགྲོགས་པ་,To keep company,v
ངན་པ་,"bad, vile, miserable, excrement",adj
འཇིགས་སྐྲག་,Terror,n
དད་པ་,Faith,n
ཉོན་མོངས་པའི་སྒྲིབ་པ་,Afflictive obscurations,n
ཐམས་ཅད་,all,adj
ཤེས་རབ་,wisdom,n
ཐུགས་ལ་ཡག་པོ་བཞག་ཨ་,Keep this well in mind!,p
རྟོགས་པའི་ཆོས་,"realizational doctrine, experiential teaching",n
བསོད་སྙོམས་,alms (lit.),n
འགུལ་སྐྱོད་གཏོང་བ་,to move (such as: a body part),v
ཤམ་ཐབས་,monks skirt,n
ཆོས་གོས་,monastic yellow upper robe,n
ལྷུང་བཟེད་,begging bowl,n
ཀུན་དགའ་བོ་,ānanda,n
དབུ་འཛིན་,"president, director, chair-person",n
དུས་ཡུན་,"term, period",n
འོས་འདེམས་བྱེད་,"to select, to elect",v
གཞི་ནས་,"finally (also: from the base, from the root)",adv
བྲལ་བ་,to be free from,v
རྟོགས་བྱ་,object of realization,n
ཤེས་བྱའི་ཡོན་ཏན་,wisdom quality [of a Buddha],n
ཤེས་བྱའི་སྒྲིབ་པ་,Cognitive obscuration,n
ཐུགས་རྒྱུད་,mindstream (H),n
སེལ་བ་,To clear away,v
གཉེན་པོ་,"remedy, antidote",n
སྒྲིབ་པ་,Obscurations,n
ཡེ་ཤེས་,Primordial wisdom,n
ལུང་གི་ཆོས་,Dharma of Scriptural Tradition,n
བཀའ་,The words (teachings) of the Buddha,n
མཐར་ཐུག་པ་,"final, finally, ultimate, complete","adv, , adj"
སྤང་རྟོགས་མཐར་ཕྱིན་པ་,to complete all abandonments and realization,v
ལྷག་པ་,"to remain, greater than",v
ཐེག་པ་གསུམ་གྱི་འཕགས་པ་,Arya beings of the three vehicles,n
ཉམས་སུ་ལེན་མཁན་,practitioner,n
སྡུག་བསྔལ་,Suffering,n
བྱང་ཆུབ་སེམས་དཔའ་,Bodhisattva,n
དྲག་པོ་,"hard, heavy, fierce, strong",adj
སྒར་ཆེན་,great camp,n
རུལ་བ་,rot,v
ཐོ་,list,n
ཁྲག,blood,n
ཕྱུར་ར་,cheese // ཕྱུ་ར་,n
གྲུ་ཞིབ་,flour [wheat-powder],n
སྟོང་,1000,n
བཞུགས་གདན་འཇགས་གློ་,Good bye! (H) (to the person staying),p
ག་ལེར་ཕེབས་རློགས་གནང་་,Goodbye! (H) (to the person staying),p
ལྦུ་བ་,"foam, bubbles",n
ག་པར་འགྲོ་ག,Where are you going?,p
ཁེད་རང་ལུང་པ་ག་ནས་ཡིན།ང་ ... ནས་ཡིན་,Where are you from?I am from ...,p
ཁྱེད་རང་གི་མིང་ལ་ག་རེ་ཟེར་གི་ཡློད།ངའི་མིང་ (ལ་) ་་་་་ཟེར་གི་ཡློད་,What is your name?My name is ... ?,p
པྲ་,"""mirror"" divination, omen",n
ངོ་དེབ་,Facebook,n
དགོང་དྲོ་བདེ་ལེགས་,Good evening!,p
ག་པར་ཕེབས་ག,Where are you going?,p
ག་ལེར་ཕེབས། ག་ལེར་བཞུགས་,Goodbye (H) (going / staying),p
ཕེབས་ཨ། བཞུགས་ཨ།,Bye! (H)(going / staying),p
ཁྱེད་རང་གི་མཚན་ལ་ག་རེ་ཞུ་གི་ཡོད།ངའི་མིང་ (ལ་) ་་་་་ཟེར་གི་ཡོད་,What is your name?My name is ... ?,p
ཁེད་རང་ཕ་ཡུལ་ག་ནས་ཡིན་,Where are you from?,p
དཔེ་མཛོད་ཁང་,library,n
འཛིན་གྲྭ་གཅིག་པ་,classmates,n
སྨྱུ་གུ་,"pen, bamboo",n
རྐུབ་བཀྱག་,chair // རྐུབ་ཀྱབ་,n
རང་སྦྱོང་,self-study,n
དྲ་རྒྱ་,internet,n
ཧ་གོ་བ་,"to understand, to comprehend, knowཐ་མི་དད་པ་ // ཤེས་པ་, མགོ་འཚུགས་པ་",v
གཟིགས་པ་,"to read, to look at, to buy (H) (ཐ་དད་པ་ and ཐ་མི་དད་པ་)",v
འཐོན་པ་,"to graduate, to leave, to emerge (ཐ་མི་དད་པ་)",v
སློབ་པ་,"to teach, to train (ཐ་དད་པ་)",v
སྐྱིད་པོ་,"nice, pleasant, happy",adj
ཚིག་ཕྱུག་པོ་བཟོ་ཤོག་ཨ་,Enrich your vocabulary!,p
དེབ་,book,n
གཟིམ་འཇགས་གནང་གོ་,"Good night, sleep well!",p
སྙན་ངག་,poem,n
རོ་ཏོ་,"remains, dregs, residue",n
མཐོང་མཆན་ལག་འཁྱེར་,"visa, border permit // ཆོག་མཆན་",n
ང་ཚོ་སླེབས་འགྲོའོ་ཡིན་,We have almost arrived. // ང་ཚོ་སླེབས་འགྲོའོ་འདུག,
འཛིན་གྲྭ་གྲོལ་འགྲོའོ་འདུག,The class is almost over.,
ཟླ་མཇུག,end of the month,n
ལོ་མཇུག,end of the year,n
ལོ་འགོ,start of the year,front:re:[^་]+$
ཟླ་འགོ,start of the month,n
སྤྲོ་བོ་གནང་,to have a good time (H) // སྐྱིད་པོ་བྱེད་,v
མཆོད་མཇལ་ཞུ་བ་,to visit a monastery w offering (esp. during Losar),v
རྣམ་འགྱུར་,"manner, expression, appearance",n
གཉེན་ཕྲད་བ་,to meet close one's (mosty family or very close friends),v
དགའ་ཕྱོགས་,"interests, hobbies",n
ང་བ་,to cry,v
བཙུགས་པ་,"to plant, to establish",v
དགུན་ཁ་སླེབས་གྲབས་ཡོད་རེད་,Winter has almost arrived. // འགྲོའོ་ in spoken,
བྱེད་སྒོ་,activities,n
བསང་གསོལ་གཏོང་བ་,to make a smoke offering and supplications (as opposed too just བསང་གཏོང་བ།),v
རྒྱུག་པ་གཡུག་པ་,to throw a stick,v
སློབ་ཐེངས་,module,n
ཁྲིམས་རྩོད་པ་བྱེད་པ་,to practice law,v
ཁྲིམས་རྩོད་པ་,"attorney, lawyer",n
ཏོག་ཙམ་མ་གཏོགས་,"almost, nearly, [except for a little bit] // ཧ་ལམ་",adv
ཆེ་ཙམ་,a litte larger,adj
གྲང་ཙམ་,a little colder,adj
ཐག་ཆོད་,"thoroughly, completely",adj
ཇ་འདིའི་ནང་ལ་ཨོ་མ་ཉུང་བ་ལ་,How little milk in the tea!,
གློག་བརྙན་འདི་ཡག་ག་ལ་,How great this movie is!,
ཁ་དཔེ་,proverb,n
ད་གིན་,"recently, just now",adv
ང་གཉིས་རེས་མོ་བྱས་ནས་ཚིག་དེ་ཚོ་བེད་སྤྱོད་བཏང་ནས་ཚིག་གྲུབ་བཟོས་ན་གང་འདྲས་འདུག,Let's take turns making sentences using these words.,p
འདྲེ་,(v) to be mix (ཐ་མི་དད་པ་),v
སྐྲན་ནད་,tumor; cancer // སྐྲན།,n
ཀྲམ་ག,coin,n
རིན་མེད་,free // གླ་མེད།,adj
གྲུ་མོ་,elbow,n
མྱུར་དུ་,"fast, མགྱོགས་པ་ (more written)",adv
གནས་སྟངས་,"state, condition",n
ཁྲི་,"(1) throne(2) 10,000",n
ཁྲ་ཁྲ་,"colorful, many colors",adj
ཧམ་པ་,"greedy, demanding, arrogant, shameless",adj
བྲམ་ཟེ་,Brahmin (person in the priestly caste),n
སྤྱི་ཚོགས་,society,n
གལ་གནང་གི་མ་རེད་,No problem. It's OK.,p
སྤྱང་ཀི་,wolf,n
དེ་གཡར་གནང་དང་་,Please lend ...!,p
ལྟོགས་པ་,to be hungry,v
ཟླུམ་པོ་,"round, spherical",adj
ཞ་སྨྱུག་,pencil,n
སྡོམ་ཚིག་,summary,n
